adid	21rfw452y52g2gq4g	61.55	31.42	1423,43,567,3,7,23
adid	22rfw452y52g2gq4g	62.55	32.42	2423,43,567,3,7,23
adid	23rfw452y52g2gq4g	63.55	33.42	3423,43,567,3,7,23
adid	24rfw452y52g2gq4g	64.55	34.42	4423,43,567,3,7,23
adid	25rfw452y52g2gq4g	65.55	35.42	5423,43,567,3,7,23
dvid	26rfw452y52g2gq4g	66.55	36.42	6423,43,567,3,7,23
dvid	27rfw452y52g2gq4g	67.55	37.42	7423,43,567,3,7,23
dvid	28rfw452y52g2gq4g	68.55	38.42	8423,43,567,3,7,23
dvid	29rfw452y52g2gq4g	69.55	39.42	9423,43,567,3,7,23
dvid	210fw452y52g2gq4g	70.55	30.42	1023,43,567,3,7,23
