idfa	31rfw452y52g2gq4g	71.55	81.42	1423,43,567,3,7,23
gaid	32rfw452y52g2gq4g	72.55	82.42	2423,43,567,3,7,23
adid	33rfw452y52g2gq4g	73.55	83.42	3423,43,567,3,7,23
dvid	34rfw452y52g2gq4g	74.55	84.42	4423,43,567,3,7,23
dvid	35rfw452y52g2gq4g	75.55	85.42	5423,43,567,3,7,23
adid	36rfw452y52g2gq4g	76.55	86.42	6423,43,567,3,7,23
gaid	37rfw452y52g2gq4g	77.55	87.42	7423,43,567,3,7,23
idfa	38rfw452y52g2gq4g	78.55	88.42	8423,43,567,3,7,23
idfa	39rfw452y52g2gq4g	79.55	89.42	9423,43,567,3,7,23
adid	310fw452y52g2gq4g	70.55	80.42	1023,43,567,3,7,23
