idfa	1rfw452y52g2gq4g	51.55	41.42	1423,43,567,3,7,23
idfa	2rfw452y52g2gq4g	52.55	42.42	2423,43,567,3,7,23
idfa	3rfw452y52g2gq4g	53.55	43.42	3423,43,567,3,7,23
idfa	4rfw452y52g2gq4g	54.55	44.42	4423,43,567,3,7,23
idfa	5rfw452y52g2gq4g	55.55	45.42	5423,43,567,3,7,23
gaid	6rfw452y52g2gq4g	56.55	46.42	6423,43,567,3,7,23
gaid	7rfw452y52g2gq4g	57.55	47.42	7423,43,567,3,7,23
gaid	8rfw452y52g2gq4g	58.55	48.42	8423,43,567,3,7,23
gaid	9rfw452y52g2gq4g	59.55	49.42	9423,43,567,3,7,23
gaid	10fw452y52g2gq4g	60.55	50.42	1023,43,567,3,7,23
